Kupovina,Održavanje,Vrata,Broj_osoba,Prtljažnik,Bezbednost,Klasa
vvisoka,srednja,2,2,mali,srednja,neprihv
vvisoka,srednja,2,2,mali,visoka,neprihv
vvisoka,srednja,2,2,srednja,niska,neprihv
vvisoka,srednja,2,2,srednja,srednja,neprihv
vvisoka,srednja,2,2,srednja,visoka,neprihv
vvisoka,srednja,2,2,veliki,niska,neprihv
vvisoka,srednja,2,2,veliki,srednja,neprihv
vvisoka,srednja,2,2,veliki,visoka,neprihv
vvisoka,srednja,2,4,mali,niska,neprihv
vvisoka,srednja,2,4,mali,srednja,neprihv
vvisoka,srednja,2,4,mali,visoka,prihv
vvisoka,srednja,2,4,srednja,niska,neprihv
vvisoka,srednja,2,4,srednja,srednja,neprihv
vvisoka,srednja,2,4,srednja,visoka,prihv
vvisoka,srednja,2,4,veliki,niska,neprihv
vvisoka,srednja,2,4,veliki,srednja,prihv
vvisoka,srednja,2,4,veliki,visoka,prihv
vvisoka,srednja,2,više,mali,niska,neprihv
vvisoka,srednja,2,više,mali,srednja,neprihv
vvisoka,srednja,2,više,mali,visoka,neprihv
vvisoka,srednja,2,više,srednja,niska,neprihv
vvisoka,srednja,2,više,srednja,srednja,neprihv
vvisoka,srednja,2,više,srednja,visoka,prihv
vvisoka,srednja,2,više,veliki,niska,neprihv
vvisoka,srednja,2,više,veliki,srednja,prihv
vvisoka,srednja,2,više,veliki,visoka,prihv
vvisoka,srednja,3,2,mali,niska,neprihv
vvisoka,srednja,3,2,mali,srednja,neprihv
vvisoka,srednja,3,2,mali,visoka,neprihv
vvisoka,srednja,3,2,srednja,niska,neprihv
vvisoka,srednja,3,2,srednja,srednja,neprihv
vvisoka,srednja,3,2,srednja,visoka,neprihv
vvisoka,srednja,3,2,veliki,niska,neprihv
vvisoka,srednja,3,2,veliki,srednja,neprihv
vvisoka,srednja,3,2,veliki,visoka,neprihv
vvisoka,srednja,3,4,mali,niska,neprihv
vvisoka,srednja,3,4,mali,srednja,neprihv
vvisoka,srednja,3,4,mali,visoka,prihv
vvisoka,srednja,3,4,srednja,niska,neprihv
vvisoka,srednja,3,4,srednja,srednja,neprihv
vvisoka,srednja,3,4,srednja,visoka,prihv
vvisoka,srednja,3,4,veliki,niska,neprihv
vvisoka,srednja,3,4,veliki,srednja,prihv
vvisoka,srednja,3,4,veliki,visoka,prihv
vvisoka,srednja,3,više,mali,niska,neprihv
vvisoka,srednja,3,više,mali,srednja,neprihv
vvisoka,srednja,3,više,mali,visoka,prihv
vvisoka,srednja,3,više,srednja,niska,neprihv
vvisoka,srednja,3,više,srednja,srednja,prihv
vvisoka,srednja,3,više,srednja,visoka,prihv
vvisoka,srednja,3,više,veliki,niska,neprihv
vvisoka,srednja,3,više,veliki,srednja,prihv
vvisoka,srednja,3,više,veliki,visoka,prihv
vvisoka,srednja,4,2,mali,niska,neprihv
vvisoka,srednja,4,2,mali,srednja,neprihv
vvisoka,srednja,4,2,mali,visoka,neprihv
vvisoka,srednja,4,2,srednja,niska,neprihv
vvisoka,srednja,4,2,srednja,srednja,neprihv
vvisoka,srednja,4,2,srednja,visoka,neprihv
vvisoka,srednja,4,2,veliki,niska,neprihv
vvisoka,srednja,4,2,veliki,srednja,neprihv
vvisoka,srednja,4,2,veliki,visoka,neprihv
vvisoka,srednja,4,4,mali,niska,neprihv
vvisoka,srednja,4,4,mali,srednja,neprihv
vvisoka,srednja,4,4,mali,visoka,prihv
vvisoka,srednja,4,4,srednja,niska,neprihv
vvisoka,srednja,4,4,srednja,srednja,prihv
vvisoka,srednja,4,4,srednja,visoka,prihv
vvisoka,srednja,4,4,veliki,niska,neprihv
vvisoka,srednja,4,4,veliki,srednja,prihv
vvisoka,srednja,4,4,veliki,visoka,prihv
vvisoka,srednja,4,više,mali,niska,neprihv
vvisoka,srednja,4,više,mali,srednja,neprihv
vvisoka,srednja,4,više,mali,visoka,prihv
vvisoka,srednja,4,više,srednja,niska,neprihv
vvisoka,srednja,4,više,srednja,srednja,prihv
vvisoka,srednja,4,više,srednja,visoka,prihv
vvisoka,srednja,4,više,veliki,niska,neprihv
vvisoka,srednja,4,više,veliki,srednja,prihv
vvisoka,srednja,4,više,veliki,visoka,prihv
vvisoka,srednja,5više,2,mali,niska,neprihv
vvisoka,srednja,5više,2,mali,srednja,neprihv
vvisoka,srednja,5više,2,mali,visoka,neprihv
vvisoka,srednja,5više,2,srednja,niska,neprihv
vvisoka,srednja,5više,2,srednja,srednja,neprihv
vvisoka,srednja,5više,2,srednja,visoka,neprihv
vvisoka,srednja,5više,2,veliki,niska,neprihv
vvisoka,srednja,5više,2,veliki,srednja,neprihv
vvisoka,srednja,5više,2,veliki,visoka,neprihv
vvisoka,srednja,5više,4,mali,niska,neprihv
vvisoka,srednja,5više,4,mali,srednja,neprihv
vvisoka,srednja,5više,4,mali,visoka,prihv
vvisoka,srednja,5više,4,srednja,niska,neprihv
vvisoka,srednja,5više,4,srednja,srednja,prihv
vvisoka,srednja,5više,4,srednja,visoka,prihv
vvisoka,srednja,5više,4,veliki,niska,neprihv
vvisoka,srednja,5više,4,veliki,srednja,prihv
vvisoka,srednja,5više,4,veliki,visoka,prihv
vvisoka,srednja,5više,više,mali,niska,neprihv
vvisoka,srednja,5više,više,mali,srednja,neprihv
vvisoka,srednja,5više,više,mali,visoka,prihv
vvisoka,srednja,5više,više,srednja,niska,neprihv
vvisoka,srednja,5više,više,srednja,srednja,prihv
vvisoka,srednja,5više,više,srednja,visoka,prihv
vvisoka,srednja,5više,više,veliki,niska,neprihv
vvisoka,srednja,5više,više,veliki,srednja,prihv
vvisoka,srednja,5više,više,veliki,visoka,prihv
vvisoka,niska,2,2,mali,niska,neprihv
vvisoka,niska,2,2,mali,srednja,neprihv
vvisoka,niska,2,2,mali,visoka,neprihv
vvisoka,niska,2,2,srednja,niska,neprihv
vvisoka,niska,2,2,srednja,srednja,neprihv
vvisoka,niska,2,2,srednja,visoka,neprihv
vvisoka,niska,2,2,veliki,niska,neprihv
vvisoka,niska,2,2,veliki,srednja,neprihv
vvisoka,niska,2,2,veliki,visoka,neprihv
vvisoka,niska,2,4,mali,niska,neprihv
vvisoka,niska,2,4,mali,srednja,neprihv
vvisoka,niska,2,4,mali,visoka,prihv
vvisoka,niska,2,4,srednja,niska,neprihv
vvisoka,niska,2,4,srednja,srednja,neprihv
vvisoka,niska,2,4,srednja,visoka,prihv
vvisoka,niska,2,4,veliki,niska,neprihv
vvisoka,niska,2,4,veliki,srednja,prihv
vvisoka,niska,2,4,veliki,visoka,prihv
vvisoka,niska,2,više,mali,niska,neprihv
vvisoka,niska,2,više,mali,srednja,neprihv
vvisoka,niska,2,više,mali,visoka,neprihv
vvisoka,niska,2,više,srednja,niska,neprihv
vvisoka,niska,2,više,srednja,srednja,neprihv
vvisoka,niska,2,više,srednja,visoka,prihv
vvisoka,niska,2,više,veliki,niska,neprihv
vvisoka,niska,2,više,veliki,srednja,prihv
vvisoka,niska,2,više,veliki,visoka,prihv
vvisoka,niska,3,2,mali,niska,neprihv
vvisoka,niska,3,2,mali,srednja,neprihv
vvisoka,niska,3,2,mali,visoka,neprihv
vvisoka,niska,3,2,srednja,niska,neprihv
vvisoka,niska,3,2,srednja,srednja,neprihv
vvisoka,niska,3,2,srednja,visoka,neprihv
vvisoka,niska,3,2,veliki,niska,neprihv
vvisoka,niska,3,2,veliki,srednja,neprihv
vvisoka,niska,3,2,veliki,visoka,neprihv
vvisoka,niska,3,4,mali,niska,neprihv
vvisoka,niska,3,4,mali,srednja,neprihv
vvisoka,niska,3,4,mali,visoka,prihv
vvisoka,niska,3,4,srednja,niska,neprihv
vvisoka,niska,3,4,srednja,srednja,neprihv
vvisoka,niska,3,4,srednja,visoka,prihv
vvisoka,niska,3,4,veliki,niska,neprihv
vvisoka,niska,3,4,veliki,srednja,prihv
vvisoka,niska,3,4,veliki,visoka,prihv
vvisoka,niska,3,više,mali,niska,neprihv
vvisoka,niska,3,više,mali,srednja,neprihv
vvisoka,niska,3,više,mali,visoka,prihv
vvisoka,niska,3,više,srednja,niska,neprihv
vvisoka,niska,3,više,srednja,srednja,prihv
vvisoka,niska,3,više,srednja,visoka,prihv
vvisoka,niska,3,više,veliki,niska,neprihv
vvisoka,niska,3,više,veliki,srednja,prihv
vvisoka,niska,3,više,veliki,visoka,prihv
vvisoka,niska,4,2,mali,niska,neprihv
vvisoka,niska,4,2,mali,srednja,neprihv
vvisoka,niska,4,2,mali,visoka,neprihv
vvisoka,niska,4,2,srednja,niska,neprihv
vvisoka,niska,4,2,srednja,srednja,neprihv
vvisoka,niska,4,2,srednja,visoka,neprihv
vvisoka,niska,4,2,veliki,niska,neprihv
vvisoka,niska,4,2,veliki,srednja,neprihv
vvisoka,niska,4,2,veliki,visoka,neprihv
vvisoka,niska,4,4,mali,niska,neprihv
vvisoka,niska,4,4,mali,srednja,neprihv
vvisoka,niska,4,4,mali,visoka,prihv
vvisoka,niska,4,4,srednja,niska,neprihv
vvisoka,niska,4,4,srednja,srednja,prihv
vvisoka,niska,4,4,srednja,visoka,prihv
vvisoka,niska,4,4,veliki,niska,neprihv
vvisoka,niska,4,4,veliki,srednja,prihv
vvisoka,niska,4,4,veliki,visoka,prihv
vvisoka,niska,4,više,mali,niska,neprihv
vvisoka,niska,4,više,mali,srednja,neprihv
vvisoka,niska,4,više,mali,visoka,prihv
vvisoka,niska,4,više,srednja,niska,neprihv
vvisoka,niska,4,više,srednja,srednja,prihv
vvisoka,niska,4,više,srednja,visoka,prihv
vvisoka,niska,4,više,veliki,niska,neprihv
vvisoka,niska,4,više,veliki,srednja,prihv
vvisoka,niska,4,više,veliki,visoka,prihv
vvisoka,niska,5više,2,mali,niska,neprihv
vvisoka,niska,5više,2,mali,srednja,neprihv
vvisoka,niska,5više,2,mali,visoka,neprihv
vvisoka,niska,5više,2,srednja,niska,neprihv
vvisoka,niska,5više,2,srednja,srednja,neprihv
vvisoka,niska,5više,2,srednja,visoka,neprihv
vvisoka,niska,5više,2,veliki,niska,neprihv
vvisoka,niska,5više,2,veliki,srednja,neprihv
vvisoka,niska,5više,2,veliki,visoka,neprihv
vvisoka,niska,5više,4,mali,niska,neprihv
vvisoka,niska,5više,4,mali,srednja,neprihv
vvisoka,niska,5više,4,mali,visoka,prihv
vvisoka,niska,5više,4,srednja,niska,neprihv
vvisoka,niska,5više,4,srednja,srednja,prihv
vvisoka,niska,5više,4,srednja,visoka,prihv
vvisoka,niska,5više,4,veliki,niska,neprihv
vvisoka,niska,5više,4,veliki,srednja,prihv
vvisoka,niska,5više,4,veliki,visoka,prihv
vvisoka,niska,5više,više,mali,niska,neprihv
vvisoka,niska,5više,više,mali,srednja,neprihv
vvisoka,niska,5više,više,mali,visoka,prihv
vvisoka,niska,5više,više,srednja,niska,neprihv
vvisoka,niska,5više,više,srednja,srednja,prihv
vvisoka,niska,5više,više,srednja,visoka,prihv
vvisoka,niska,5više,više,veliki,niska,neprihv
vvisoka,niska,5više,više,veliki,srednja,prihv
vvisoka,niska,5više,više,veliki,visoka,prihv
visoka,vvisoka,2,2,mali,niska,neprihv
visoka,vvisoka,2,2,mali,srednja,neprihv
visoka,vvisoka,2,2,mali,visoka,neprihv
visoka,vvisoka,2,2,srednja,niska,neprihv
visoka,vvisoka,2,2,srednja,srednja,neprihv
visoka,vvisoka,2,2,srednja,visoka,neprihv
visoka,vvisoka,2,2,veliki,niska,neprihv
visoka,vvisoka,2,2,veliki,srednja,neprihv
visoka,vvisoka,2,2,veliki,visoka,neprihv
visoka,vvisoka,2,4,mali,niska,neprihv
visoka,vvisoka,2,4,mali,srednja,neprihv
visoka,vvisoka,2,4,mali,visoka,neprihv
visoka,vvisoka,2,4,srednja,niska,neprihv
visoka,vvisoka,2,4,srednja,srednja,neprihv
visoka,vvisoka,2,4,srednja,visoka,neprihv
visoka,vvisoka,2,4,veliki,niska,neprihv
visoka,vvisoka,2,4,veliki,srednja,neprihv
visoka,vvisoka,2,4,veliki,visoka,neprihv
visoka,vvisoka,2,više,mali,niska,neprihv
visoka,vvisoka,2,više,mali,srednja,neprihv
visoka,vvisoka,2,više,mali,visoka,neprihv
visoka,vvisoka,2,više,srednja,niska,neprihv
visoka,vvisoka,2,više,srednja,srednja,neprihv
visoka,vvisoka,2,više,srednja,visoka,neprihv
visoka,vvisoka,2,više,veliki,niska,neprihv
visoka,vvisoka,2,više,veliki,srednja,neprihv
visoka,vvisoka,2,više,veliki,visoka,neprihv
visoka,vvisoka,3,2,mali,niska,neprihv
visoka,vvisoka,3,2,mali,srednja,neprihv
visoka,vvisoka,3,2,mali,visoka,neprihv
visoka,vvisoka,3,2,srednja,niska,neprihv
visoka,vvisoka,3,2,srednja,srednja,neprihv
visoka,vvisoka,3,2,srednja,visoka,neprihv
visoka,vvisoka,3,2,veliki,niska,neprihv
visoka,vvisoka,3,2,veliki,srednja,neprihv
visoka,vvisoka,3,2,veliki,visoka,neprihv
visoka,vvisoka,3,4,mali,niska,neprihv
visoka,vvisoka,3,4,mali,srednja,neprihv
visoka,vvisoka,3,4,mali,visoka,neprihv
visoka,vvisoka,3,4,srednja,niska,neprihv
visoka,vvisoka,3,4,srednja,srednja,neprihv
visoka,vvisoka,3,4,srednja,visoka,neprihv
visoka,vvisoka,3,4,veliki,niska,neprihv
visoka,vvisoka,3,4,veliki,srednja,neprihv
visoka,vvisoka,3,4,veliki,visoka,neprihv
visoka,vvisoka,3,više,mali,niska,neprihv
visoka,vvisoka,3,više,mali,srednja,neprihv
visoka,vvisoka,3,više,mali,visoka,neprihv
visoka,vvisoka,3,više,srednja,niska,neprihv
visoka,vvisoka,3,više,srednja,srednja,neprihv
visoka,vvisoka,3,više,srednja,visoka,neprihv
visoka,vvisoka,3,više,veliki,niska,neprihv
visoka,vvisoka,3,više,veliki,srednja,neprihv
visoka,vvisoka,3,više,veliki,visoka,neprihv
visoka,vvisoka,4,2,mali,niska,neprihv
visoka,vvisoka,4,2,mali,srednja,neprihv
visoka,vvisoka,4,2,mali,visoka,neprihv
visoka,vvisoka,4,2,srednja,niska,neprihv
visoka,vvisoka,4,2,srednja,srednja,neprihv
visoka,vvisoka,4,2,srednja,visoka,neprihv
visoka,vvisoka,4,2,veliki,niska,neprihv
visoka,vvisoka,4,2,veliki,srednja,neprihv
visoka,vvisoka,4,2,veliki,visoka,neprihv
visoka,vvisoka,4,4,mali,niska,neprihv
visoka,vvisoka,4,4,mali,srednja,neprihv
visoka,vvisoka,4,4,mali,visoka,neprihv
visoka,vvisoka,4,4,srednja,niska,neprihv
visoka,vvisoka,4,4,srednja,srednja,neprihv
visoka,vvisoka,4,4,srednja,visoka,neprihv
visoka,vvisoka,4,4,veliki,niska,neprihv
visoka,vvisoka,4,4,veliki,srednja,neprihv
visoka,vvisoka,4,4,veliki,visoka,neprihv
visoka,vvisoka,4,više,mali,niska,neprihv
visoka,vvisoka,4,više,mali,srednja,neprihv
visoka,vvisoka,4,više,mali,visoka,neprihv
visoka,vvisoka,4,više,srednja,niska,neprihv
visoka,vvisoka,4,više,srednja,srednja,neprihv
visoka,vvisoka,4,više,srednja,visoka,neprihv
visoka,vvisoka,4,više,veliki,niska,neprihv
visoka,vvisoka,4,više,veliki,srednja,neprihv
visoka,vvisoka,4,više,veliki,visoka,neprihv
visoka,vvisoka,5više,2,mali,niska,neprihv
visoka,vvisoka,5više,2,mali,srednja,neprihv
visoka,vvisoka,5više,2,mali,visoka,neprihv
visoka,vvisoka,5više,2,srednja,niska,neprihv
visoka,vvisoka,5više,2,srednja,srednja,neprihv
visoka,vvisoka,5više,2,srednja,visoka,neprihv
visoka,vvisoka,5više,2,veliki,niska,neprihv
visoka,vvisoka,5više,2,veliki,srednja,neprihv
visoka,vvisoka,5više,2,veliki,visoka,neprihv
